날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2024-11-18,5551.37,5485,5550,5485,5530,3609,19971325,74.04
2024-11-19,5627.62,5600,5620,5600,5615,10144,56935185,73.74
2024-11-20,5603.51,5595,5620,5575,5595,11735,65545300,73.62
2024-11-21,5597.91,5575,5600,5575,5600,4588,25618445,72.98
2024-11-22,5546.38,5575,5575,5535,5545,8172,45339950,72.94
2024-11-25,5544.19,5525,5545,5525,5545,9775,54056815,72.41
2024-11-26,5500.04,5535,5535,5480,5495,12639,69414650,72.39
2024-11-27,5500.97,5495,5495,5475,5490,6144,33714220,72.31
2024-11-28,5494.82,5480,5490,5475,5480,2996,16420815,72.31
2024-11-29,5493.51,5485,5485,5465,5470,1777,9720350,72.14
2024-12-02,5481.14,5470,5470,5440,5445,5244,28591705,71.98
2024-12-03,5471.12,5445,5465,5445,5460,3204,17484925,72.18
2024-12-04,5485.67,5460,5485,5440,5470,3972,21665155,71.85
2024-12-05,5460.93,5465,5465,5440,5445,5130,27935695,72.52
2024-12-06,5514.11,5505,5505,5485,5495,5128,28154410,73.1
2024-12-09,5560.59,5555,5555,5525,5540,23812,131720310,73.11
2024-12-10,5557.59,5540,5560,5535,5545,8516,47190275,73.48
2024-12-11,5588.22,5605,5605,5560,5575,10936,60938495,73.78
2024-12-12,5605.44,5605,5620,5585,5600,4132,23147905,73.25
2024-12-13,5556.11,5590,5590,5535,5555,7984,44282975,73.13
