날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2023-12-18,6793.82,6800,6800,6760,6785,5625,38141260,0.0
2023-12-19,6734.56,6760,6760,6705,6750,9253,62265075,0.0
2023-12-20,6701.44,6705,6725,6705,6720,3454,23199355,0.0
2023-12-21,6640.75,6680,6680,6640,6665,5910,39362645,0.0
2023-12-22,6616.25,6650,6650,6605,6615,8623,57109215,0.0
2023-12-26,6642.37,6665,6665,6625,6635,3477,23087460,0.0
2023-12-27,6725.42,6700,6740,6665,6730,18665,125634615,0.0
2023-12-28,6678.08,6720,6720,6655,6700,13070,87098290,0.0
2024-01-02,6644.55,6685,6685,6595,6595,14422,95412730,0.0
2024-01-03,6557.78,6585,6585,6515,6515,25697,167818470,0.0
2024-01-04,6558.66,6575,6580,6515,6575,20228,133001720,0.0
2024-01-05,6576.61,6540,6590,6530,6580,6093,39925135,0.0
2024-01-08,6542.49,6575,6575,6500,6515,6709,43715095,0.0
2024-01-09,6491.65,6495,6495,6440,6495,21901,141329040,0.0
2024-01-10,6542.44,6560,6560,6515,6525,2758,18015735,0.0
2024-01-11,6511.22,6540,6540,6480,6515,5332,34682070,0.0
2024-01-12,6497.62,6530,6530,6480,6495,2554,16586565,0.0
2024-01-15,6414.26,6435,6450,6405,6425,3283,21108300,0.0
2024-01-16,6416.42,6445,6445,6380,6430,8047,51563630,0.0
2024-01-17,6409.87,6430,6430,6365,6365,17662,112612105,0.0
2024-01-18,6354.99,6340,6380,6320,6375,2121,13513600,0.0
2024-01-19,6404.81,6445,6445,6365,6380,9121,58139985,0.0
2024-01-22,6446.71,6430,6465,6430,6445,2341,15098580,0.0
2024-01-23,6464.28,6505,6505,6430,6455,1761,11345000,0.0
2024-01-24,6503.5,6520,6520,6470,6520,3993,26001830,0.0
2024-01-25,6586.72,6550,6600,6545,6600,3251,21371260,0.0
2024-01-26,6536.62,6565,6565,6500,6510,7171,46871435,0.0
2024-01-29,6453.75,6475,6475,6415,6460,7124,46002780,0.0
2024-01-30,6384.39,6360,6410,6345,6360,21310,135420580,0.0
2024-01-31,6501.19,6430,6505,6430,6470,2679,17376125,0.0
2024-02-01,6489.6,6540,6540,6450,6470,4551,29486495,0.0
2024-02-02,6437.17,6465,6465,6400,6400,5023,32308970,0.0
2024-02-05,6417.52,6425,6430,6355,6390,2877,18347020,0.0
2024-02-06,6392.58,6355,6410,6355,6390,1357,8675365,0.0
2024-02-07,6388.76,6400,6410,6360,6365,1963,12517775,0.0
2024-02-08,6374.91,6385,6385,6320,6360,2110,13403775,0.0
2024-02-13,6322.37,6415,6415,6280,6300,9483,59669915,0.0
